Country Name,Indicator Name,Year,Value
World,全癌死亡率,2007,5
Slovenia,全癌死亡率,1997,9
"Venezuela, RB",全癌死亡率,2002,9
Antigua and Barbuda,全癌死亡率,1997,4
Europe & Central Asia,全癌死亡率,1992,13
Puerto Rico,全癌死亡率,1972,5
Austria,全癌死亡率,1982,9
Sweden,全癌死亡率,1987,4
"Venezuela, RB",全癌死亡率,2007,4
Small states,全癌死亡率,2002,4
Netherlands,全癌死亡率,1987,15
Grenada,全癌死亡率,2007,8
Cyprus,全癌死亡率,2002,3
Antigua and Barbuda,全癌死亡率,1992,4
Estonia,全癌死亡率,2002,11
Netherlands,全癌死亡率,1982,3
Japan,全癌死亡率,1977,4
Cyprus,全癌死亡率,1997,9
Palau,全癌死亡率,2002,8
Australia,全癌死亡率,2002,8
Malta,全癌死亡率,1987,15
"Congo, Rep.",全癌死亡率,2007,9
Portugal,全癌死亡率,1997,15
Mexico,全癌死亡率,1997,14
Ireland,全癌死亡率,1997,8
Russian Federation,全癌死亡率,2007,9
Palau,全癌死亡率,2007,4
Antigua and Barbuda,全癌死亡率,1987,13
Sweden,全癌死亡率,1982,6
Poland,全癌死亡率,1997,8
France,全癌死亡率,1982,4
Japan,全癌死亡率,1972,8
St. Kitts and Nevis,全癌死亡率,1992,9
Spain,全癌死亡率,1997,8
Hungary,全癌死亡率,2002,5
France,全癌死亡率,1977,15
Croatia,全癌死亡率,2007,11
"Venezuela, RB",全癌死亡率,1977,13
Caribbean small states,全癌死亡率,2002,12
Finland,全癌死亡率,1992,7
"Venezuela, RB",全癌死亡率,1962,4
Mauritius,全癌死亡率,2007,7
"Venezuela, RB",全癌死亡率,1997,13
Australia,全癌死亡率,1987,12
Cuba,全癌死亡率,2007,3
"Korea, Rep.",全癌死亡率,1997,15
Austria,全癌死亡率,1977,10
Slovak Republic,全癌死亡率,2002,3
World,全癌死亡率,2002,9
Norway,全癌死亡率,1977,11
Slovak Republic,全癌死亡率,1997,14
Saudi Arabia,全癌死亡率,2002,10
Netherlands,全癌死亡率,1972,15
Latvia,全癌死亡率,2002,15
Central Europe and the Baltics,全癌死亡率,2002,3
Estonia,全癌死亡率,1997,3
Iceland,全癌死亡率,2007,8
Brazil,全癌死亡率,2007,10
"Venezuela, RB",全癌死亡率,1982,7
Libya,全癌死亡率,2002,7
Botswana,全癌死亡率,1992,8
Seychelles,全癌死亡率,1987,15
Gabon,全癌死亡率,2007,15
Norway,全癌死亡率,1972,11
Jamaica,全癌死亡率,2007,4
Brazil,全癌死亡率,1997,5
Panama,全癌死亡率,2007,9
Lebanon,全癌死亡率,2007,14
Lithuania,全癌死亡率,2002,12
"Venezuela, RB",全癌死亡率,1972,13
Saudi Arabia,全癌死亡率,1997,15
"Venezuela, RB",全癌死亡率,1992,7
Bulgaria,全癌死亡率,2007,10
Latin America & Caribbean,全癌死亡率,2007,4
Romania,全癌死亡率,2007,14
Lesotho,全癌死亡率,2007,5
Chile,全癌死亡率,1982,15
Chile,全癌死亡率,2002,5
St. Lucia,全癌死亡率,2002,3
Latin America & the Caribbean (IDA & IBRD countries),全癌死亡率,2007,8
Greece,全癌死亡率,2002,14
South Africa,全癌死亡率,1987,10
Latin America & Caribbean (excluding high income),全癌死亡率,2007,10
Saudi Arabia,全癌死亡率,1992,11
Maldives,全癌死亡率,2007,9
Argentina,全癌死亡率,1997,12
South Africa,全癌死亡率,1982,3
Saudi Arabia,全癌死亡率,1987,8
Cyprus,全癌死亡率,1992,6
Latvia,全癌死亡率,1997,12
Malta,全癌死亡率,1977,10
"Iran, Islamic Rep.",全癌死亡率,1977,3
"Venezuela, RB",全癌死亡率,1967,11
East Asia & Pacific,全癌死亡率,2007,13
Chile,全癌死亡率,1997,4
Argentina,全癌死亡率,1992,3
World,全癌死亡率,1997,15
Finland,全癌死亡率,1987,10
Kazakhstan,全癌死亡率,2007,7
Australia,全癌死亡率,1982,11
Australia,全癌死亡率,1977,4
Jordan,全癌死亡率,1982,15
Europe & Central Asia (IDA & IBRD countries),全癌死亡率,2007,8
Antigua and Barbuda,全癌死亡率,1982,12
Gabon,全癌死亡率,2002,13
Jamaica,全癌死亡率,2002,3
"Congo, Rep.",全癌死亡率,2002,10
Latin America & Caribbean,全癌死亡率,1997,4
Mauritius,全癌死亡率,2002,6
St. Vincent and the Grenadines,全癌死亡率,2007,7
Russian Federation,全癌死亡率,2002,6
New Zealand,全癌死亡率,2002,11
Latin America & the Caribbean (IDA & IBRD countries),全癌死亡率,1997,11
Croatia,全癌死亡率,2002,5
Latin America & Caribbean (excluding high income),全癌死亡率,1997,15
Seychelles,全癌死亡率,1982,14
Caribbean small states,全癌死亡率,1997,12
Brazil,全癌死亡率,2002,6
Russian Federation,全癌死亡率,1997,14
Latin America & Caribbean,全癌死亡率,2002,5
Croatia,全癌死亡率,1997,14
Latin America & the Caribbean (IDA & IBRD countries),全癌死亡率,2002,15
Middle East & North Africa,全癌死亡率,2007,15
New Zealand,全癌死亡率,1987,4
Panama,全癌死亡率,1997,14
New Zealand,全癌死亡率,1997,8
New Zealand,全癌死亡率,2007,7
"Venezuela, RB",全癌死亡率,1987,7
Latin America & Caribbean (excluding high income),全癌死亡率,2002,11
Europe & Central Asia (excluding high income),全癌死亡率,2007,13
Lebanon,全癌死亡率,2002,10
Mexico,全癌死亡率,1992,4
Botswana,全癌死亡率,1987,13
Jordan,全癌死亡率,1987,5
Maldives,全癌死亡率,2002,7
Caribbean small states,全癌死亡率,1992,4
Lesotho,全癌死亡率,2002,7
St. Lucia,全癌死亡率,1997,9
Caribbean small states,全癌死亡率,1987,14
Greece,全癌死亡率,1997,15
Panama,全癌死亡率,2002,3
Panama,全癌死亡率,1982,8
Azerbaijan,全癌死亡率,2007,10
Australia,全癌死亡率,1972,3
South Africa,全癌死亡率,1977,12
Dominican Republic,全癌死亡率,2007,5
Arab World,全癌死亡率,2007,13
"Korea, Rep.",全癌死亡率,1992,6
St. Kitts and Nevis,全癌死亡率,1987,7
Panama,全癌死亡率,1992,13
Dominican Republic,全癌死亡率,2002,9
New Zealand,全癌死亡率,1992,14
Grenada,全癌死亡率,2002,13
Hungary,全癌死亡率,1997,5
New Zealand,全癌死亡率,1982,12
Peru,全癌死亡率,2007,11
St. Vincent and the Grenadines,全癌死亡率,2002,5
"Iran, Islamic Rep.",全癌死亡率,2007,9
Suriname,全癌死亡率,1972,9
Russian Federation,全癌死亡率,1992,12
Zimbabwe,全癌死亡率,1992,9
Cyprus,全癌死亡率,1987,11
Suriname,全癌死亡率,2002,12
St. Vincent and the Grenadines,全癌死亡率,1997,14
West Bank and Gaza,全癌死亡率,2007,4
East Asia & Pacific,全癌死亡率,2002,13
Ukraine,全癌死亡率,2007,3
Lebanon,全癌死亡率,1997,7
Lesotho,全癌死亡率,1997,7
Central Europe and the Baltics,全癌死亡率,1997,12
Malta,全癌死亡率,1972,10
South Africa,全癌死亡率,1972,8
Upper middle income,全癌死亡率,2007,14
Panama,全癌死亡率,1987,7
France,全癌死亡率,1972,9
Algeria,全癌死亡率,2007,9
Namibia,全癌死亡率,1992,5
Uruguay,全癌死亡率,1997,3
Brazil,全癌死亡率,1992,3
Late-demographic dividend,全癌死亡率,2007,8
Colombia,全癌死亡率,2007,8
"Congo, Rep.",全癌死亡率,1982,13
Jordan,全癌死亡率,1992,4
"Iran, Islamic Rep.",全癌死亡率,2002,11
Jamaica,全癌死亡率,1997,6
Cuba,全癌死亡率,2002,15
Argentina,全癌死亡率,1977,9
Argentina,全癌死亡率,1987,13
Latin America & Caribbean,全癌死亡率,1992,4
Latin America & the Caribbean (IDA & IBRD countries),全癌死亡率,1992,10
Swaziland,全癌死亡率,2007,14
Mexico,全癌死亡率,1982,9
Latin America & Caribbean (excluding high income),全癌死亡率,1992,12
Peru,全癌死亡率,2002,6
Suriname,全癌死亡率,1977,9
Chile,全癌死亡率,1972,6
Middle East & North Africa,全癌死亡率,2002,4
Grenada,全癌死亡率,1997,5
Algeria,全癌死亡率,1982,5
Algeria,全癌死亡率,1972,11
Algeria,全癌死亡率,1977,4
Turkey,全癌死亡率,2007,11
Peru,全癌死亡率,1992,6
Kazakhstan,全癌死亡率,2002,3
Chile,全癌死亡率,1967,14
France,全癌死亡率,1967,4
Jordan,全癌死亡率,1977,14
Uruguay,全癌死亡率,2002,15
Thailand,全癌死亡率,2002,4
Finland,全癌死亡率,1982,12
West Bank and Gaza,全癌死亡率,2002,14
Argentina,全癌死亡率,2007,9
Suriname,全癌死亡率,1967,11
Namibia,全癌死亡率,1982,13
Europe & Central Asia (IDA & IBRD countries),全癌死亡率,2002,7
Uruguay,全癌死亡率,1992,4
IBRD only,全癌死亡率,2007,14
Iceland,全癌死亡率,2002,6
Costa Rica,全癌死亡率,2007,14
Chile,全癌死亡率,1962,8
Peru,全癌死亡率,1997,6
Brazil,全癌死亡率,1982,3
Malaysia,全癌死亡率,2002,14
Swaziland,全癌死亡率,1992,10
Angola,全癌死亡率,1997,6
Dominican Republic,全癌死亡率,1997,13
Thailand,全癌死亡率,1997,15
Middle East & North Africa (excluding high income),全癌死亡率,2007,10
Middle East & North Africa (IDA & IBRD countries),全癌死亡率,2007,7
Suriname,全癌死亡率,1982,9
Montenegro,全癌死亡率,2007,14
St. Kitts and Nevis,全癌死亡率,1982,5
"Congo, Rep.",全癌死亡率,1997,13
El Salvador,全癌死亡率,2002,12
Seychelles,全癌死亡率,1977,14
Cabo Verde,全癌死亡率,2007,7
Colombia,全癌死亡率,2002,6
Namibia,全癌死亡率,2007,6
Chile,全癌死亡率,1987,5
Cyprus,全癌死亡率,1982,13
Latin America & Caribbean,全癌死亡率,1982,7
Latin America & the Caribbean (IDA & IBRD countries),全癌死亡率,1982,6
Tunisia,全癌死亡率,2002,10
Thailand,全癌死亡率,2007,12
Swaziland,全癌死亡率,2002,9
Costa Rica,全癌死亡率,2002,8
Tunisia,全癌死亡率,2007,13
East Asia & Pacific,全癌死亡率,1997,6
Mauritius,全癌死亡率,1997,9
Marshall Islands,全癌死亡率,2007,7
Algeria,全癌死亡率,1997,4
Namibia,全癌死亡率,1997,7
Latin America & Caribbean (excluding high income),全癌死亡率,1982,7
New Zealand,全癌死亡率,1977,5
Argentina,全癌死亡率,1982,10
Cuba,全癌死亡率,1997,10
Finland,全癌死亡率,1977,15
Belarus,全癌死亡率,2007,15
Mexico,全癌死亡率,1987,8
Namibia,全癌死亡率,1987,14
Panama,全癌死亡率,1977,10
Bosnia and Herzegovina,全癌死亡率,2007,11
Iceland,全癌死亡率,1997,4
Upper middle income,全癌死亡率,2002,9
Algeria,全癌死亡率,2002,15
Europe & Central Asia (excluding high income),全癌死亡率,2002,5
Ecuador,全癌死亡率,2007,13
"Iran, Islamic Rep.",全癌死亡率,1997,8
Maldives,全癌死亡率,1997,3
"Yemen, Rep.",全癌死亡率,2007,13
Uruguay,全癌死亡率,2007,6
Arab World,全癌死亡率,2002,5
Lesotho,全癌死亡率,1992,11
"Korea, Rep.",全癌死亡率,1987,3
Chile,全癌死亡率,1992,8
Serbia,全癌死亡率,2007,10
Argentina,全癌死亡率,1967,3
Late-demographic dividend,全癌死亡率,2002,11
Malaysia,全癌死亡率,2007,6
Middle income,全癌死亡率,2007,15
Chile,全癌死亡率,1977,12
Brazil,全癌死亡率,1987,3
IDA & IBRD total,全癌死亡率,2007,14
Bosnia and Herzegovina,全癌死亡率,2002,5
Suriname,全癌死亡率,1962,12
Latin America & Caribbean,全癌死亡率,1987,6
Latin America & the Caribbean (IDA & IBRD countries),全癌死亡率,1987,8
Low & middle income,全癌死亡率,2007,13
China,全癌死亡率,2007,11
Algeria,全癌死亡率,1967,13
Cabo Verde,全癌死亡率,2002,11
"Macedonia, FYR",全癌死亡率,2007,6
Latin America & Caribbean (excluding high income),全癌死亡率,1987,7
Panama,全癌死亡率,1972,10
South Africa,全癌死亡率,1967,8
Turkmenistan,全癌死亡率,1992,6
Georgia,全癌死亡率,2007,3
Europe & Central Asia (IDA & IBRD countries),全癌死亡率,1997,4
Lithuania,全癌死亡率,1997,4
Argentina,全癌死亡率,2002,9
IBRD only,全癌死亡率,2002,3
Bulgaria,全癌死亡率,2002,13
Middle East & North Africa (excluding high income),全癌死亡率,2002,14
Middle East & North Africa (IDA & IBRD countries),全癌死亡率,2002,5
Namibia,全癌死亡率,2002,11
Antigua and Barbuda,全癌死亡率,1977,13
Argentina,全癌死亡率,1972,3
Early-demographic dividend,全癌死亡率,2007,12
East Asia & Pacific (excluding high income),全癌死亡率,2007,8
East Asia & Pacific (IDA & IBRD countries),全癌死亡率,2007,5
South Africa,全癌死亡率,1962,10
Malaysia,全癌死亡率,1997,5
Mexico,全癌死亡率,1977,8
Suriname,全癌死亡率,1987,5
Grenada,全癌死亡率,1992,6
Suriname,全癌死亡率,2007,12
Suriname,全癌死亡率,1992,6
East Asia & Pacific,全癌死亡率,1992,7
Bulgaria,全癌死亡率,1987,15
St. Kitts and Nevis,全癌死亡率,1977,9
Mexico,全癌死亡率,1972,9
"Congo, Rep.",全癌死亡率,1992,10
Angola,全癌死亡率,1992,9
Mauritius,全癌死亡率,1992,4
Botswana,全癌死亡率,1982,11
Cabo Verde,全癌死亡率,1997,5
Turkey,全癌死亡率,2002,15
Belarus,全癌死亡率,2002,13
Cabo Verde,全癌死亡率,1992,4
Middle East & North Africa (IDA & IBRD countries),全癌死亡率,1977,6
Europe & Central Asia (excluding high income),全癌死亡率,1997,9
El Salvador,全癌死亡率,2007,4
"Congo, Rep.",全癌死亡率,1987,10
Kazakhstan,全癌死亡率,1997,15
Moldova,全癌死亡率,2007,9
Upper middle income,全癌死亡率,1997,5
Zambia,全癌死亡率,1987,9
Dominica,全癌死亡率,2002,11
Oman,全癌死亡率,1972,14
Algeria,全癌死亡率,1992,10
Montenegro,全癌死亡率,2002,6
Morocco,全癌死亡率,2007,8
Ecuador,全癌死亡率,2002,5
Mexico,全癌死亡率,1967,6
IDA & IBRD total,全癌死亡率,2002,5
Thailand,全癌死亡率,1992,11
"Macedonia, FYR",全癌死亡率,2002,13
Middle income,全癌死亡率,2002,9
"Iran, Islamic Rep.",全癌死亡率,1992,6
Guatemala,全癌死亡率,2007,11
Philippines,全癌死亡率,2007,10
Dominican Republic,全癌死亡率,1992,5
Romania,全癌死亡率,2002,12
Cabo Verde,全癌死亡率,1982,3
Suriname,全癌死亡率,1997,12
Tunisia,全癌死亡率,1997,9
Low & middle income,全癌死亡率,2002,12
"Iran, Islamic Rep.",全癌死亡率,1972,10
Middle East & North Africa (IDA & IBRD countries),全癌死亡率,1997,6
Middle East & North Africa (excluding high income),全癌死亡率,1997,8
Early-demographic dividend,全癌死亡率,2002,5
Late-demographic dividend,全癌死亡率,1997,12
Dominica,全癌死亡率,2007,10
St. Vincent and the Grenadines,全癌死亡率,1982,10
Latin America & Caribbean,全癌死亡率,1972,13
"Macedonia, FYR",全癌死亡率,1997,11
Dominican Republic,全癌死亡率,1987,6
Latin America & the Caribbean (IDA & IBRD countries),全癌死亡率,1972,12
Algeria,全癌死亡率,1987,13
Bolivia,全癌死亡率,2007,5
Bulgaria,全癌死亡率,1992,12
Swaziland,全癌死亡率,1997,5
Brazil,全癌死亡率,1972,15
"Iran, Islamic Rep.",全癌死亡率,1982,8
Honduras,全癌死亡率,2007,12
Latin America & Caribbean,全癌死亡率,1977,9
Latin America & Caribbean (excluding high income),全癌死亡率,1972,4
West Bank and Gaza,全癌死亡率,1997,3
Costa Rica,全癌死亡率,1992,4
Cuba,全癌死亡率,1992,10
Philippines,全癌死亡率,2002,3
Latin America & the Caribbean (IDA & IBRD countries),全癌死亡率,1977,10
Cyprus,全癌死亡率,1977,15
Zambia,全癌死亡率,2007,8
St. Lucia,全癌死亡率,1987,15
IBRD only,全癌死亡率,1997,4
Latin America & Caribbean (excluding high income),全癌死亡率,1977,13
Jordan,全癌死亡率,1972,11
China,全癌死亡率,2002,8
St. Vincent and the Grenadines,全癌死亡率,1987,15
Cuba,全癌死亡率,1972,4
Cuba,全癌死亡率,1977,13
New Zealand,全癌死亡率,1972,11
"Yemen, Rep.",全癌死亡率,2002,10
Cuba,全癌死亡率,1982,15
St. Vincent and the Grenadines,全癌死亡率,1977,10
St. Lucia,全癌死亡率,1992,4
Belize,全癌死亡率,2007,12
Europe & Central Asia (excluding high income),全癌死亡率,1992,5
Europe & Central Asia (IDA & IBRD countries),全癌死亡率,1992,6
Honduras,全癌死亡率,2002,10
Morocco,全癌死亡率,1987,15
Costa Rica,全癌死亡率,1987,12
Middle East & North Africa (excluding high income),全癌死亡率,1982,6
Middle East & North Africa (IDA & IBRD countries),全癌死亡率,1982,7
East Asia & Pacific (excluding high income),全癌死亡率,2002,6
East Asia & Pacific (IDA & IBRD countries),全癌死亡率,2002,12
Cuba,全癌死亡率,1987,4
Colombia,全癌死亡率,1997,13
Uruguay,全癌死亡率,1987,3
Indonesia,全癌死亡率,2007,14
Senegal,全癌死亡率,2007,11
Costa Rica,全癌死亡率,1997,7
Fiji,全癌死亡率,2007,5
St. Lucia,全癌死亡率,1982,15
East Asia & Pacific,全癌死亡率,1987,11
Zambia,全癌死亡率,1967,6
Zimbabwe,全癌死亡率,2002,3
Zambia,全癌死亡率,1972,13
"Egypt, Arab Rep.",全癌死亡率,2007,4
Angola,全癌死亡率,1987,10
Latin America & Caribbean,全癌死亡率,1967,5
Latin America & the Caribbean (IDA & IBRD countries),全癌死亡率,1967,6
Morocco,全癌死亡率,1982,4
El Salvador,全癌死亡率,1997,14
Zimbabwe,全癌死亡率,1987,5
Ukraine,全癌死亡率,1997,12
Latin America & Caribbean (excluding high income),全癌死亡率,1967,15
IDA & IBRD total,全癌死亡率,1997,14
Upper middle income,全癌死亡率,1992,12
Early-demographic dividend,全癌死亡率,1997,4
Middle income,全癌死亡率,1997,6
El Salvador,全癌死亡率,1992,9
Malaysia,全癌死亡率,1992,14
Ukraine,全癌死亡率,2002,11
Brazil,全癌死亡率,1977,7
"Korea, Rep.",全癌死亡率,1982,6
Morocco,全癌死亡率,2002,3
Low & middle income,全癌死亡率,1997,5
Zambia,全癌死亡率,1982,8
Bolivia,全癌死亡率,2002,13
Paraguay,全癌死亡率,2002,14
Tunisia,全癌死亡率,1982,14
Turkey,全癌死亡率,1997,6
St. Vincent and the Grenadines,全癌死亡率,1992,4
Serbia,全癌死亡率,2002,14
Eritrea,全癌死亡率,2002,11
Brazil,全癌死亡率,1967,8
Middle East & North Africa (excluding high income),全癌死亡率,1992,13
Middle East & North Africa (IDA & IBRD countries),全癌死亡率,1992,14
Azerbaijan,全癌死亡率,2002,3
Guatemala,全癌死亡率,2002,7
"Congo, Dem. Rep.",全癌死亡率,1972,15
Fiji,全癌死亡率,2002,8
Belize,全癌死亡率,2002,9
Mauritius,全癌死亡率,1987,13
Belarus,全癌死亡率,1997,4
"Congo, Rep.",全癌死亡率,1977,5
Indonesia,全癌死亡率,2002,10
Senegal,全癌死亡率,2002,13
Turkey,全癌死亡率,1992,4
Peru,全癌死亡率,1977,15
Thailand,全癌死亡率,1987,7
Colombia,全癌死亡率,1992,14
Paraguay,全癌死亡率,1992,10
Lesotho,全癌死亡率,1987,9
Zambia,全癌死亡率,1997,15
Bolivia,全癌死亡率,1992,14
Indonesia,全癌死亡率,1997,12
IBRD only,全癌死亡率,1992,4
Zimbabwe,全癌死亡率,1982,13
Morocco,全癌死亡率,1992,13
